"","Shooting","Defense","Playmaking","ShotCreating"
"Kenneth Faried",-2.080096521,0.007846967,0.513056316,0.018867925
"Nene",-2.729440147,2.973202954,0.578537405,0.025862069
"Isaiah Hartenstein",-2.073667343,0.859142719,0.548717949,0
"Darren Collison",0.128061385,0.113142955,0.743048091,0.314138451
"Aaron Holiday",0.013995618,2.205735757,0.567655377,0.183206107
"Victor Oladipo",0.157297129,2.471570875,0.593909075,0.320205304
"Edmond Sumner",-2.217543622,-0.699288749,0.033333333,0.0625
"Cory Joseph",-0.050148953,2.314084176,0.62528391,0.286816902
"Kyle O'Quinn",-2.561332171,-2.54795158,0.31468254,0.014814815
"Domantas Sabonis",-1.676383957,0.53042767,0.54811415,0.076923077
"Doug McDermott",0.13530374,-2.306184714,0.401949636,0.011820331
"Thaddeus Young",-0.011889782,1.887133042,0.538109327,0.072532699
"TJ Leaf",-2.216133278,2.478827511,0.397386426,0.021857924
"Wesley Matthews",0.117958012,-0.266367486,0.608179594,0.082975679
"Alize Johnson",-1.704451497,-2.923544425,0,0.066666667
"Davon Reed",-1.719107786,-1.028294012,0,0
"Myles Turner",0.087371795,2.028040362,0.40743318,0.021794872
"Bojan Bogdanovic",0.19059996,-0.640111537,0.554449918,0.166761215
"Sindarius Thornwell",-2.330915073,1.481276575,0.261111111,0.040816327
"Shai Gilgeous-Alexander",0.028703136,-0.064278744,0.695453259,0.339335094
"JaMychal Green",0.134308119,-1.805300383,0.341760972,0.027310924
"Montrezl Harrell",-2.298806592,0.77559398,0.403753568,0.090933262
"Danilo Gallinari",0.238119537,0.06919504,0.478884914,0.237290592
"Tyrone Wallace",-2.307742131,0.579695685,0.489196244,0.175115207
"Jerome Robinson",-0.022851912,-1.970082243,0.174089069,0.090909091
"Johnathan Motley",-2.74033401,-2.154492902,0.107954545,0.109589041
"Garrett Temple",0.005591879,0.799188925,0.352612076,0.081300813
"Rodney McGruder",0.044672527,0.184018632,0.598142268,0.099352052
"Landry Shamet",0.190976494,-0.522171789,0.515862557,0.041516246
"Patrick Beverley",0.122594866,1.370290029,0.645851412,0.156416329
"Wilson Chandler",0.100614341,-0.604789925,0.507998312,0.078066915
"Lou Williams",0.07492291,-3.945944147,0.860328617,0.350784
"Angel Delgado",-2,10.36188648,0,0
"Ivica Zubac",-2,1.813768007,0.271072195,0.007915567
"Kyle Kuzma",-0.024668367,-0.709187771,0.699882494,0.133608618
"Kentavious Caldwell-Pope",0.047916532,-0.297614038,0.557706859,0.073767919
"Lonzo Ball",0.054233477,0.787086292,0.827996111,0.168327596
"Josh Hart",0.018842294,3.024394674,0.601931595,0.043103449
"Alex Caruso",-1.756420166,3.495626827,0.643372274,0.18128655
"Tyson Chandler",-2.638236011,1.831790115,0.400553007,0
"Lance Stephenson",0.070740989,-2.10793094,0.72964325,0.300837884
"JaVale McGee",-2.554724656,0.549611224,0.473356757,0.025677679
"Rajon Rondo",0.066651138,-1.39249562,1.071969997,0.355044197
"Jemerrio Jones",-2.323524951,5.360416217,0.379487179,0.03125
"Brandon Ingram",-0.032054403,-0.681162932,0.644774522,0.387262814
"Moritz Wagner",-0.102703368,-0.230223971,0.211538462,0.088757396
"Isaac Bonga",-2.732444364,5.828065473,0.244444444,0.03125
"Johnathan Williams",-2.716519667,-1.358993396,0.485576923,0.009345794
"LeBron James",0.082738994,0.164745304,1.091268651,0.424875728
"Mike Muscala",0.03723831,0.122986475,0.564656693,0.002816901
"Reggie Bullock",0.133370678,-1.15629016,0.449656422,0.038720539
"Avery Bradley",0.048846939,0.684727527,0.537266059,0.120065789
"Kyle Anderson",-2.189532359,2.221698331,0.611549907,0.134057971
"Delon Wright",-0.088211306,2.004638512,0.691763738,0.206834532
"Jevon Carter",0.019548473,0.423373423,0.638675788,0.203642753
"Julian Washburn",-2.310735533,1.463291726,0.333333333,0.020833333
"Bruno Caboclo",0.135796802,-0.378618317,0.460717793,0.031111111
"CJ Miles",0.036597761,-0.34093107,0.454823812,0.048543689
"Justin Holiday",0.054229874,1.166454417,0.515771749,0.044444445
"Ivan Rabb",-2.33367721,-4.297509109,0.574243815,0.047169811
"Mike Conley",0.115160214,1.701336626,0.754901564,0.343366723
"Yuta Watanabe",-2.481363382,-1.160194338,0.611111111,0.019607843
"Jaren Jackson Jr.",0.03426657,1.801412033,0.476016479,0.179231147
"Jonas Valanciunas",-2.142627181,0.984466293,0.39743273,0.037243948
"Tyler Dorsey",0.007387241,-3.211257901,0.825574961,0.117424242
"Dillon Brooks",-1.951694243,-1.619926799,0.411184211,0.065573771
"Chandler Parsons",-2.097777851,-1.993127317,0.269864341,0.066298342
"Tyler Zeller",-2.762121735,4.760427295,0.333333333,0
"Joakim Noah",-2.338753483,1.550838152,0.494921943,0.100576164
"Josh Richardson",0.098815447,0.86957815,0.649423893,0.160773731
"Yante Maten",-2.688110703,14.85828811,0,0
"Dwyane Wade",0.023733479,-2.11506938,0.811165548,0.303972993
"Derrick Jones Jr.",-0.093103818,2.158835988,0.520518109,0.027692308
"Goran Dragic",0.127365191,-1.122524222,0.779800629,0.254629402
"Kelly Olynyk",0.035227395,0.699614299,0.647370561,0.031914894
"Dion Waiters",0.218941105,-0.936215215,0.70364654,0.269222153
"Bam Adebayo",-2.291625329,2.676011508,0.673481573,0.041152264
"James Johnson",0.006263378,-0.719884689,0.7974633,0.236172057
"Justise Winslow",0.084485024,0.293169099,0.663664875,0.193460028
"Hassan Whiteside",-2.495780941,3.754815658,0.395784667,0.027941176
"Ryan Anderson",-2.261330935,-1.812325253,0.342105263,0.057971015
"Udonis Haslem",-2.727998838,5.556589802,0.555555556,0.03030303
"Duncan Robinson",-2.136164863,-2.301671933,0.1,0
"George Hill",-0.046256564,1.083541361,0.594434136,0.20212766
"D.J. Wilson",0.04660844,0.931411607,0.476117208,0.012048193
"Eric Bledsoe",0.005569471,2.384481652,0.954599469,0.324755507
"Donte DiVincenzo",-0.074216037,3.297772532,0.362195812,0.064516129
"Brook Lopez",0.091972538,1.638571466,0.483924928,0.074285704
"Tim Frazier",0.044912039,-2.315742369,0.892296119,0.176245211
"Malcolm Brogdon",0.184529826,1.137777918,0.752804489,0.288746498
"Pau Gasol",-1.804367565,-0.629995788,0.030448718,0.031914894
"Tony Snell",0.1140604,-1.310432046,0.538578127,0.058171745
"Khris Middleton",0.133828401,0.400046619,0.774420054,0.377813927
"Sterling Brown",0.060042488,-1.070115217,0.648885269,0.099358974
"Pat Connaughton",0.005220618,0.53001171,0.615815212,0.042979943
"Giannis Antetokounmpo",-0.166063619,2.925072159,0.998319004,0.362196889
"Nikola Mirotic",0.177555736,0.702490193,0.442280953,0.025830258
"Bonzie Colson",-2.228425734,-5.121150178,0.555555556,0.025641026
"Ersan Ilyasova",0.050104751,3.18828477,0.554956858,0.002617801
"Jeff Teague",8.93e-05,-1.045191223,0.934088784,0.428034279
"Tyus Jones",-0.054561206,0.109368068,0.788247862,0.297010183
"Jared Terrell",-2.232926182,-3.417257965,0.433333333,0.184210526
"Gorgui Dieng",-2.04408151,0.682027159,0.493323435,0.038158905
"Jerryd Bayless",-0.018684633,-6.130163101,0.772252183,0.206061581
"Luol Deng",-2.090422713,0.881437377,0.277777778,0.084745763
"C.J. Williams",-2.097880043,-1.728476058,0.25,0.171428572
"Cameron Reynolds",-1.880678991,-1.963860629,0.369230769,0.038461538
"Josh Okogie",-0.135917214,1.655707594,0.523636094,0.070866142
"Andrew Wiggins",0.03683405,-0.85350066,0.55268854,0.207566014
"Derrick Rose",0.103761728,-1.233260732,0.728730386,0.430958715
