,"cutree(clus, k = 10)",,,,,,
De'Aaron Fox,7,,,,,,
Bogdan Bogdanovic,2,,,,,,
BJ Johnson,4,,,,,,
Frank Mason,1,,,,,,
Alec Burks,2,,,,,,
Troy Williams,3,,,,,,
Harry Giles III,6,,,,,,
Buddy Hield,2,,,,,,
Corey Brewer,1,,,,,,
Marvin Bagley III,1,,,,,,
Harrison Barnes,2,,,,,,
Kosta Koufos,6,,,,,,
Caleb Swanigan,6,,,,,,
Nemanja Bjelica,1,,,,,,
Lonnie Walker IV,6,,,,,,
Quincy Pondexter,3,,,,,,
Derrick White,2,,,,,,
Chimezie Metu,6,,,,,,
Patty Mills,1,,,,,,
DeMar DeRozan,7,,,,,,
Bryn Forbes,1,,,,,,
LaMarcus Aldridge,6,,,,,,
Drew Eubanks,3,,,,,,
Marco Belinelli,1,,,,,,
Rudy Gay,1,,,,,,
Jakob Poeltl,6,,,,,,
Donatas Motiejunas,3,,,,,,
Dante Cunningham,1,,,,,,
Davis Bertans,1,,,,,,
Patrick McCaw,4,,,,,,
Kawhi Leonard,2,,,,,,
OG Anunoby,1,,,,,,
Kyle Lowry,2,,,,,,
Jordan Loyd,4,,,,,,
Serge Ibaka,1,,,,,,
Malcolm Miller,4,,,,,,
Danny Green,1,,,,,,
Eric Moreland,8,,,,,,
Jeremy Lin,2,,,,,,
Jodie Meeks,4,,,,,,
Fred VanVleet,2,,,,,,
Norman Powell,2,,,,,,
Chris Boucher,3,,,,,,
Marc Gasol,1,,,,,,
Pascal Siakam,2,,,,,,
Joe Ingles,2,,,,,,
Ricky Rubio,2,,,,,,
Dante Exum,2,,,,,,
Tony Bradley,4,,,,,,
Derrick Favors,1,,,,,,
Thabo Sefolosha,1,,,,,,
Royce O'Neale,1,,,,,,
Grayson Allen,1,,,,,,
Raul Neto,1,,,,,,
Kyle Korver,1,,,,,,
Rudy Gobert,6,,,,,,
Naz Mitrou-Long,4,,,,,,
Georges Niang,1,,,,,,
Ekpe Udoh,6,,,,,,
Tyler Cavanaugh,3,,,,,,
Donovan Mitchell,2,,,,,,
Jae Crowder,1,,,,,,
Trevor Ariza,2,,,,,,
John Wall,7,,,,,,
Bradley Beal,2,,,,,,
Wesley Johnson,1,,,,,,
Bobby Portis,1,,,,,,
